Symbol,20Day_ADV
360ONE,1514908
ABB,502784
ABCAPITAL,3747385
ADANIENSOL,2241673
ADANIENT,1338538
ADANIGREEN,2847089
ADANIPORTS,2023616
ADANIPOWER,25827496
ALKEM,125242
AMBER,261857
AMBUJACEM,2249407
ANGELONE,7178488
APLAPOLLO,627708
APOLLOHOSP,266915
ASHOKLEY,17708933
ASIANPAINT,1082065
ASTRAL,573013
AUBANK,1597695
AUROPHARMA,946593
AXISBANK,8267778
BAJAJ-AUTO,523558
BAJAJFINSV,1463413
BAJAJHLDNG,56268
BAJFINANCE,10403297
BANDHANBNK,20821422
BANKBARODA,10416676
BANKINDIA,9697947
BDL,748476
BEL,11824173
BHARATFORG,755053
BHARTIARTL,6046870
BHEL,14138031
BIOCON,6872853
BLUESTARCO,322692
BOSCHLTD,23945
BPCL,7392785
BRITANNIA,228466
BSE,2448200
CAMS,1247108
CANBK,24701040
CDSL,1909210
CGPOWER,4560737
CHOLAFIN,1519086
CIPLA,1376941
COALINDIA,6629761
COCHINSHIP,1222302
COFORGE,3563472
COLPAL,392833
CONCOR,3066700
CROMPTON,2854093
CUMMINSIND,390821
DABUR,2084018
DALBHARAT,286078
DELHIVERY,4512552
DIVISLAB,539190
DIXON,608864
DLF,4632733
DMART,681302
DRREDDY,2890476
EICHERMOT,613781
ETERNAL,38594067
FEDERALBNK,7497654
FORCEMOT,97574
FORTIS,1095911
GAIL,11173536
GLENMARK,568938
GMRAIRPORT,15148864
GODFRYPHLP,614419
GODREJCP,490108
GODREJPROP,792693
GRASIM,527759
GVT&D,907385
HAL,657108
HAVELLS,1541807
HCLTECH,4102622
HDFCAMC,978904
HDFCBANK,28846316
HDFCLIFE,4210604
HEROMOTOCO,716820
HINDALCO,4846443
HINDPETRO,7158011
HINDUNILVR,2125370
HINDZINC,3186315
HYUNDAI,981673
ICICIBANK,12222920
ICICIGI,1644925
ICICIPRULI,2219493
IDEA,297522735
IDFCFIRSTB,24948212
IEX,8285625
INDHOTEL,2233865
INDIANB,2856522
INDIGO,1075836
INDUSINDBK,2215500
INDUSTOWER,4919325
INFY,14833184
INOXWIND,11597688
IOC,12844828
IREDA,4746943
IRFC,7979984
ITC,16683352
JINDALSTEL,1200456
JIOFIN,23810574
JSWENERGY,2279177
JSWSTEEL,1704027
JUBLFOOD,2253931
KALYANKJIL,50347729
KAYNES,1386509
KEI,454500
KFINTECH,1765096
KOTAKBANK,15581593
KPITTECH,5644818
LAURUSLABS,2216454
LICHSGFIN,1348472
LICI,4693983
LODHA,3806811
LT,2122391
LTF,7076985
LTM,576866
LUPIN,891347
M&M,2587128
MANAPPURAM,4982096
MANKIND,478925
MARICO,1809130
MARUTI,453267
MAXHEALTH,1662812
MAZDOCK,659999
MCX,1790704
MFSL,707432
MOTHERSON,15174124
MOTILALOFS,1463245
MPHASIS,659921
MUTHOOTFIN,1193529
NAM-INDIA,955178
NATIONALUM,7355905
NAUKRI,2441908
NBCC,7491384
NESTLEIND,2507625
NHPC,14129466
NMDC,16306306
NTPC,9705555
NYKAA,5841005
OBEROIRLTY,452295
OFSS,472790
OIL,3264964
ONGC,11737362
PAGEIND,30372
PATANJALI,9683238
PAYTM,4031231
PERSISTENT,682873
PETRONET,1893956
PFC,5903608
PGEL,2021040
PHOENIXLTD,773855
PIDILITIND,1156911
PIIND,183849
PNB,19896296
PNBHOUSING,799848
POLICYBZR,1322543
POLYCAB,386220
POWERGRID,8388013
POWERINDIA,114487
PREMIERENE,1289473
PRESTIGE,716737
RADICO,455350
RBLBANK,6784376
RECLTD,4740788
RELIANCE,11731965
RVNL,4529548
SAIL,14297099
SBICARD,1682421
SBILIFE,962466
SBIN,9977041
SHREECEM,14937
SHRIRAMFIN,5583783
SIEMENS,384596
SOLARINDS,112096
SONACOMS,3072570
SRF,627679
SUNPHARMA,2649199
SUPREMEIND,198865
SUZLON,72314994
SWIGGY,27239727
TATACONSUM,1444729
TATAELXSI,538653
TATAPOWER,3541188
TATASTEEL,21591882
TCS,4937010
TECHM,2814496
TIINDIA,249604
TITAN,824066
TMPV,8535066
TORNTPHARM,938994
TRENT,1029844
TVSMOTOR,1322457
ULTRACEMCO,297641
UNIONBANK,18245686
UNITDSPR,1118696
UNOMINDA,905818
UPL,2205191
VBL,8099258
VEDL,11825740
VMM,10784781
VOLTAS,634740
WAAREEENER,941612
WIPRO,16969504
YESBANK,64698491
ZYDUSLIFE,1150033
